,negative,neutral,positive,class
0,0.06517792,0.8585519,0.07627022,neutral
1,0.015760953,0.323506,0.660733,positive
2,0.105494946,0.6304373,0.2640678,neutral
3,0.017315196,0.8707134,0.11197141,neutral
4,0.0088841,0.61908674,0.37202922,neutral
5,0.004815588,0.07929,0.9158944,positive
6,0.735104,0.24574752,0.019148502,negative
7,0.081062004,0.6838418,0.23509617,neutral
8,0.06850762,0.8894376,0.042054817,neutral
9,0.003908631,0.046388164,0.9497032,positive
10,0.0032572937,0.021603946,0.9751388,positive
11,0.38101682,0.57169396,0.04728926,neutral
12,0.04824054,0.37845817,0.57330126,positive
13,0.5805872,0.36362162,0.055791173,negative
14,0.006891024,0.32257408,0.67053497,positive
15,0.005441274,0.040325407,0.95423335,positive
16,0.713054,0.2712291,0.015717011,negative
17,0.75464433,0.20853417,0.03682154,negative
18,0.21723503,0.70510703,0.07765792,neutral
19,0.0035349359,0.13455305,0.861912,positive
