,negative,neutral,positive,class
0,0.90287626,0.08507191,0.012051795,negative
1,0.86978143,0.11143686,0.018781653,negative
2,0.8307384,0.1411223,0.028139284,negative
3,0.8436004,0.13868478,0.017714785,negative
4,0.089865066,0.09554377,0.81459117,positive
5,0.5948724,0.22781129,0.1773163,negative
6,0.9359108,0.05599005,0.008099169,negative
7,0.738103,0.22467695,0.037220072,negative
8,0.80118823,0.15583958,0.04297219,negative
9,0.81508905,0.15545711,0.029453747,negative
10,0.90088993,0.081751734,0.017358309,negative
11,0.85213614,0.111559294,0.036304586,negative
12,0.756358,0.18286261,0.060779333,negative
13,0.88264114,0.09743093,0.019928003,negative
14,0.90916586,0.075061016,0.015773071,negative
15,0.86537915,0.118493944,0.016126899,negative
16,0.9199795,0.068316475,0.011703953,negative
17,0.61276484,0.27853185,0.108703285,negative
18,0.64790285,0.21172068,0.14037646,negative
19,0.8598483,0.12644492,0.013706746,negative
